"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","6071","22477"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","1591","1591"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","5908","9277"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","1621","4231"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","609","1414"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","12903","20525"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","428","428"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","4569","6283"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","2455","3015"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","505","871"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","4123","9045"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","627","627"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","2174","3986"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL (PwD)","NA","416","622"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","524","1909"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC (PwD)","NA","69","69"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","482","2010"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","5374","7949"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","205","205"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","2073","3036"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL (PwD)","NA","67","84"
